Station,Date,Depth,NITRITE,NITRATE+NIT,AMMONIA,SILICATE,PHOSPHATE,Frozen,Filtered,QC
L4,20/02/2012,10,0.32,7.6,,3.89,0.58,n,y,y
L4,20/02/2012,25,0.31,7.34,0.13,3.76,0.58,n,y,y
L4,20/02/2012,25,0.31,7.32,0.12,3.75,0.56,n,y,y
L4,20/02/2012,50,0.29,7.24,0.14,3.74,0.56,n,y,y
L4,20/02/2012,50,0.29,7.26,0.08,3.71,0.57,n,y,y
L4,20/02/2012,0,0.32,7.75,0.06,3.88,0.53,n,n,y
L4,20/02/2012,0,0.32,7.75,0.04,3.87,0.53,n,n,y
L4,20/02/2012,10,0.34,7.83,0.05,4.06,0.61,n,n,y
L4,20/02/2012,10,0.34,7.85,0.04,4.06,0.62,n,n,y
L4,20/02/2012,25,0.3,7.47,0.07,3.74,0.55,n,n,y
L4,20/02/2012,25,0.29,7.48,0.07,3.98,0.55,n,n,y
L4,20/02/2012,50,0.28,7.34,0.06,3.99,0.62,n,n,y
L4,20/02/2012,50,0.28,7.35,0.06,4,0.62,n,n,y
L4,27/02/2012,0,0.37,8.03,,3.44,0.53,n,y,y
L4,27/02/2012,0,0.38,8.03,,3.59,0.53,n,y,y
L4,27/02/2012,10,0.39,7.81,,3.54,0.48,n,y,y
L4,27/02/2012,10,0.39,7.81,,3.52,0.48,n,y,y
L4,27/02/2012,25,0.35,6.72,,3.14,0.46,n,y,y
L4,27/02/2012,25,0.35,6.72,,3.13,0.47,n,y,y
L4,27/02/2012,50,0.36,6.78,,3.14,0.48,n,y,y
L4,27/02/2012,50,0.36,6.82,,3.16,0.48,n,y,y
L4,27/02/2012,0,0.37,8.17,,3.62,0.52,n,n,y
L4,27/02/2012,0,0.37,8.17,,3.6,0.52,n,n,y
L4,27/02/2012,10,0.37,7.91,,3.52,0.48,n,n,y
L4,27/02/2012,10,0.37,7.87,,3.51,0.48,n,n,y
L4,27/02/2012,25,0.35,6.79,,3.23,0.53,n,n,y
L4,27/02/2012,25,0.34,6.82,,3.18,0.47,n,n,y
L4,27/02/2012,50,0.36,6.8,,3.17,0.47,n,n,y
L4,27/02/2012,50,0.37,6.82,,3.25,0.48,n,n,y
L4,06/03/2012,0,0.32,6.24,0.13,3.38,0.3,n,y,y
L4,06/03/2012,0,0.33,6.25,0.13,3.26,0.3,n,y,y
L4,06/03/2012,10,0.32,6.28,0.21,3.36,0.31,n,y,y
L4,06/03/2012,10,0.32,6.28,0.22,3.34,0.31,n,y,y
L4,06/03/2012,25,0.34,6.4,0.22,3.32,0.32,n,y,y
L4,06/03/2012,25,0.34,6.39,0.24,3.33,0.32,n,y,y
L4,06/03/2012,50,0.37,6.57,0.28,3.23,0.36,n,y,y
L4,06/03/2012,50,0.37,6.56,0.27,3.23,0.36,n,y,y
L4,06/03/2012,0,0.38,6.34,0.23,3.48,0.4,n,n,y
L4,06/03/2012,0,0.38,6.31,0.25,3.44,0.39,n,n,y
L4,06/03/2012,10,0.34,6.33,0.22,3.29,0.31,n,n,y
L4,06/03/2012,10,0.35,6.33,0.19,3.29,0.31,n,n,y
L4,06/03/2012,25,0.35,6.43,0.17,3.35,0.33,n,n,y
L4,06/03/2012,25,0.34,6.43,0.15,3.29,0.33,n,n,y
L4,06/03/2012,50,0.39,6.57,0.24,3.27,0.42,n,n,y
L4,06/03/2012,50,0.39,6.56,0.22,3.36,0.37,n,n,y
L4,13/03/2012,0,0.39,6.12,0.41,3.29,0.46,n,y,y
L4,13/03/2012,0,0.39,6.09,0.4,3.3,0.46,n,y,y
L4,13/03/2012,10,0.39,6.12,0.42,3.32,0.51,n,y,y
L4,13/03/2012,10,0.39,6.12,0.38,3.32,0.5,n,y,y
L4,13/03/2012,25,0.4,6.12,0.38,3.28,0.53,n,y,y
L4,13/03/2012,25,0.4,6.12,0.35,3.28,0.51,n,y,y
L4,13/03/2012,50,0.39,6.15,0.33,3.32,0.58,n,y,y
L4,13/03/2012,50,0.39,6.13,0.33,3.33,0.57,n,y,y
L4,13/03/2012,0,0.4,6.1,0.34,3.31,0.44,n,n,y
L4,13/03/2012,0,0.4,6.1,0.34,3.3,0.44,n,n,y
L4,13/03/2012,10,0.39,6.12,0.3,3.34,0.47,n,n,y
L4,13/03/2012,10,0.39,6.12,0.31,3.34,0.47,n,n,y
L4,13/03/2012,25,0.39,6.15,0.38,3.38,0.5,n,n,y
L4,13/03/2012,25,0.39,6.15,0.36,3.39,0.5,n,n,y
L4,13/03/2012,50,0.4,6.17,0.31,3.42,0.59,n,n,y
L4,13/03/2012,50,0.4,6.16,0.3,3.43,0.56,n,n,y
L4,19/03/2012,0,0.32,5.7,0.2,3.06,0.39,n,y,y
L4,19/03/2012,0,0.32,5.74,0.21,3.16,0.39,n,y,y
L4,19/03/2012,10,0.33,5.83,0.16,3.17,0.39,n,y,y
L4,19/03/2012,10,0.33,6.06,0.16,3.17,0.4,n,y,y
L4,19/03/2012,25,0.4,6.31,0.16,3.1,0.43,n,y,y
L4,19/03/2012,25,0.39,6.31,0.15,3.09,0.43,n,y,y
L4,19/03/2012,50,0.41,6.35,0.35,3.03,0.47,n,y,y
L4,19/03/2012,50,0.42,6.36,0.34,3.03,0.47,n,y,y
L4,19/03/2012,0,0.34,5.85,0.13,3.15,0.36,n,n,y
L4,19/03/2012,0,0.34,5.89,0.13,3.16,0.37,n,n,y
L4,19/03/2012,10,0.36,5.87,0.12,3.18,0.38,n,n,y
L4,19/03/2012,10,0.35,5.87,0.12,3.17,0.38,n,n,y
L4,19/03/2012,25,0.41,6.34,0.14,3.08,0.46,n,n,y
L4,19/03/2012,25,0.42,6.34,0.15,3.07,0.44,n,n,y
L4,19/03/2012,50,0.44,6.42,0.37,3.02,0.47,n,n,y
L4,19/03/2012,50,0.44,6.43,0.36,3.03,0.47,n,n,y
L4,26/03/2012,0,0.3,5.37,0.49,,0.35,n,y,y
L4,26/03/2012,0,0.3,5.37,0.53,,0.35,n,y,y
L4,26/03/2012,10,0.3,5.38,0.63,,0.37,n,y,y
L4,26/03/2012,10,0.3,5.39,0.68,,0.37,n,y,y
L4,26/03/2012,25,0.28,5.34,0.61,,0.36,n,y,y
L4,26/03/2012,25,0.28,5.35,0.53,,0.36,n,y,y
L4,26/03/2012,50,0.32,5.33,0.51,,0.37,n,y,y
L4,26/03/2012,50,0.32,5.3,0.5,,0.37,n,y,y
L4,26/03/2012,0,0.26,5.3,0.5,,0.35,n,n,y
L4,26/03/2012,0,0.25,5.34,0.47,,0.35,n,n,y
L4,26/03/2012,10,0.23,5.36,0.59,,0.38,n,n,y
L4,26/03/2012,10,0.21,5.37,0.59,,0.39,n,n,y
L4,26/03/2012,25,0.23,5.31,0.46,,0.37,n,n,y
L4,26/03/2012,25,0.21,5.32,0.46,,0.38,n,n,y
L4,26/03/2012,50,0.28,5.37,0.42,,0.38,n,n,y
L4,26/03/2012,50,,5.41,0.41,,0.37,n,n,y
L4,02/04/2012,0,0.16,2.71,0.24,1.18,0.25,n,y,y
L4,02/04/2012,0,0.16,2.71,,1.2,0.25,n,y,y
L4,02/04/2012,10,0.15,2.78,0.13,1.2,0.26,n,y,y
L4,02/04/2012,10,0.16,2.8,,,0.24,n,y,y
L4,02/04/2012,25,0.16,2.68,0.17,1.24,0.25,n,y,y
L4,02/04/2012,25,0.16,2.69,,1.21,0.25,n,y,y
L4,02/04/2012,50,0.26,4.08,0.46,1.15,0.37,n,y,y
L4,02/04/2012,50,0.26,4.09,0.45,1.15,0.37,n,y,y
L4,02/04/2012,0,0.1,2.68,0.29,1.16,0.23,n,n,y
L4,02/04/2012,0,0.08,2.68,0.28,1.16,0.23,n,n,y
L4,02/04/2012,10,0.23,2.73,0.21,1.17,0.26,n,n,y
L4,02/04/2012,10,0.23,2.78,0.21,1.2,0.26,n,n,y
L4,02/04/2012,25,0.18,2.65,0.25,1.14,0.25,n,n,y
L4,02/04/2012,25,0.18,2.63,0.25,1.14,0.25,n,n,y
L4,02/04/2012,50,0.23,4.08,0.54,1.14,0.37,n,n,y
L4,02/04/2012,50,,4.04,0.52,1.11,0.36,n,n,y
L4,11/04/2012,0,0.08,0.75,0.22,0.43,0.16,n,y,y
L4,11/04/2012,0,0.08,0.75,0.18,0.44,0.16,n,y,y
L4,11/04/2012,10,0.07,0.89,0.18,0.57,0.23,n,y,y
L4,11/04/2012,10,0.07,0.89,0.19,0.56,0.23,n,y,y
L4,11/04/2012,25,0.07,0.89,0.42,0.43,0.19,n,y,y
L4,11/04/2012,25,0.07,0.91,0.45,0.44,0.19,n,y,y
L4,11/04/2012,50,0.07,0.97,0.41,0.48,0.21,n,y,y
L4,11/04/2012,50,0.07,0.98,0.41,0.49,0.21,n,y,y
L4,11/04/2012,0,0.08,0.7,0.16,0.44,0.16,n,n,y
L4,11/04/2012,0,0.08,0.71,0.18,0.42,0.17,n,n,y
L4,11/04/2012,10,0.08,0.83,0.21,0.54,0.21,n,n,y
L4,11/04/2012,10,0.08,0.83,0.26,0.56,0.21,n,n,y
L4,11/04/2012,25,0.07,0.92,0.6,0.59,0.18,n,n,y
L4,11/04/2012,25,0.07,0.9,0.61,0.6,0.18,n,n,y
L4,11/04/2012,50,0.08,1.14,0.71,0.52,0.19,n,n,y
L4,11/04/2012,50,0.08,1.05,0.71,0.54,0.19,n,n,y
L4,16/04/2012,0,0.06,0.3,,0.14,0.13,n,y,y
L4,16/04/2012,0,0.06,0.3,0.34,0.14,0.13,n,y,y
L4,16/04/2012,10,0.06,0.33,0.36,0.23,0.14,n,y,y
L4,16/04/2012,10,0.06,0.33,0.36,0.24,0.14,n,y,y
L4,16/04/2012,25,0.06,0.52,0.5,0.21,0.16,n,y,y
L4,16/04/2012,25,0.06,0.54,0.48,0.21,0.16,n,y,y
L4,16/04/2012,50,0.17,0.97,0.85,0.38,0.26,n,y,y
L4,16/04/2012,50,0.17,0.96,0.8,0.38,0.25,n,y,y
L4,16/04/2012,0,0.06,0.29,0.18,0.29,0.12,n,n,y
L4,16/04/2012,0,0.05,0.29,0.17,0.29,0.12,n,n,y
L4,16/04/2012,10,0.05,0.33,0.2,0.28,0.13,n,n,y
L4,16/04/2012,10,0.05,0.33,0.21,0.28,0.13,n,n,y
L4,16/04/2012,25,0.07,0.5,0.49,0.3,0.15,n,n,y
L4,16/04/2012,25,0.07,0.49,0.53,0.3,0.17,n,n,y
L4,16/04/2012,50,0.17,0.94,0.7,0.37,0.23,n,n,y
L4,16/04/2012,50,0.17,0.93,0.7,0.37,0.24,n,n,y
L4,24/04/2012,0,0.06,0.1,0.25,0.3,0.09,n,y,y
L4,24/04/2012,0,0.06,0.1,0.22,0.29,0.09,n,y,y
L4,24/04/2012,10,0.07,0.11,0.27,0.28,0.1,n,y,y
L4,24/04/2012,10,0.07,0.11,0.29,0.28,0.1,n,y,y
L4,24/04/2012,25,0.06,0.1,0.24,0.24,0.1,n,y,y
L4,24/04/2012,25,0.06,0.1,0.23,0.24,0.1,n,y,y
L4,24/04/2012,50,0.14,0.33,0.66,0.36,0.17,n,y,y
L4,24/04/2012,50,0.14,0.34,0.65,0.34,0.17,n,y,y
L4,24/04/2012,0,0.06,0.11,0.17,0.25,0.08,n,n,y
L4,24/04/2012,0,0.06,0.11,0.16,0.23,0.08,n,n,y
L4,24/04/2012,10,0.06,0.1,0.2,0.24,0.09,n,n,y
L4,24/04/2012,10,0.06,0.1,0.2,0.24,0.09,n,n,y
L4,24/04/2012,25,0.07,0.11,0.26,0.25,0.1,n,n,y
L4,24/04/2012,25,0.07,0.11,0.27,0.25,0.1,n,n,y
L4,24/04/2012,50,0.14,0.34,0.63,0.38,0.15,n,n,y
L4,24/04/2012,50,0.14,0.34,0.65,0.38,0.15,n,n,y
L4,01/05/2012,0,0.07,0.31,0.32,1.46,0.15,n,y,y
L4,01/05/2012,0,0.07,0.33,0.36,1.46,0.15,n,y,y
L4,01/05/2012,10,0.07,0.33,0.28,1.47,0.15,n,y,y
L4,01/05/2012,10,0.07,0.33,0.26,1.48,0.15,n,y,y
L4,01/05/2012,25,0.06,0.32,0.19,1.2,0.14,n,y,y
L4,01/05/2012,25,0.06,0.32,0.18,1.19,0.14,n,y,y
L4,01/05/2012,50,,,,,,n,y,y
L4,01/05/2012,50,,,,,,n,y,y
L4,01/05/2012,0,0.06,0.32,0.16,1.32,0.12,n,n,y
L4,01/05/2012,0,0.06,0.32,0.14,1.33,0.11,n,n,y
L4,01/05/2012,10,0.06,0.33,0.23,1.39,0.13,n,n,y
L4,01/05/2012,10,0.06,0.34,0.17,1.39,0.13,n,n,y
L4,01/05/2012,25,0.06,0.3,0.1,1.25,0.13,n,n,y
L4,01/05/2012,25,0.06,0.3,0.1,1.25,0.13,n,n,y
L4,01/05/2012,50,,,,,,n,n,y
L4,01/05/2012,50,,,,,,n,n,y
L4,08/05/2012,0,0.05,0.42,1.03,1.57,0.12,n,y,y
L4,08/05/2012,0,0.05,0.42,1.03,1.53,0.12,n,y,y
L4,08/05/2012,10,0.05,0.42,0.97,1.51,0.14,n,y,y
L4,08/05/2012,10,0.05,0.42,0.99,1.54,0.14,n,y,y
L4,08/05/2012,25,0.05,0.48,1.2,1.55,0.16,n,y,y
L4,08/05/2012,25,0.05,0.48,1.08,1.56,0.16,n,y,y
L4,08/05/2012,50,0.05,0.46,1.14,1.57,0.17,n,y,y
L4,08/05/2012,50,0.05,0.46,1.14,1.55,0.17,n,y,y
L4,08/05/2012,0,0.05,0.4,0.56,1.62,0.1,n,n,y
L4,08/05/2012,0,0.05,0.41,0.57,1.61,0.11,n,n,y
L4,08/05/2012,10,0.04,0.42,0.94,1.55,0.16,n,n,y
L4,08/05/2012,10,0.04,0.42,1.03,1.56,0.16,n,n,y
L4,08/05/2012,25,0.05,0.47,0.94,1.57,0.14,n,n,y
L4,08/05/2012,25,0.05,0.47,0.95,1.58,0.14,n,n,y
L4,08/05/2012,50,0.05,0.44,0.99,1.61,0.14,n,n,y
L4,08/05/2012,50,0.05,0.44,1.03,1.61,0.14,n,n,y
L4,14/05/2012,0,0.11,2.72,0.45,1.62,0.15,n,y,y
L4,14/05/2012,0,0.11,2.73,0.45,1.62,0.15,n,y,y
L4,14/05/2012,10,,,,,,n,y,y
L4,14/05/2012,10,,,,,,n,y,y
L4,14/05/2012,25,0.09,0.73,1.42,1.27,0.19,n,y,y
L4,14/05/2012,25,0.09,0.73,1.41,1.25,0.19,n,y,y
L4,14/05/2012,50,0.09,1,1.64,1.3,0.26,n,y,y
L4,14/05/2012,50,0.09,1,1.64,1.31,0.27,n,y,y
L4,14/05/2012,0,0.1,2.71,0.46,1.59,0.14,n,n,y
L4,14/05/2012,0,0.1,2.75,0.46,1.57,0.14,n,n,y
L4,14/05/2012,10,,,,,,n,n,y
L4,14/05/2012,10,,,,,,n,n,y
L4,14/05/2012,25,0.08,0.72,1.38,1.26,0.18,n,n,y
L4,14/05/2012,25,0.08,0.72,1.39,1.24,0.18,n,n,y
L4,14/05/2012,50,0.09,1,1.73,1.34,0.27,n,n,y
L4,14/05/2012,50,0.09,1.01,1.72,1.34,0.27,n,n,y
L4,21/05/2012,0,0.02,0.08,,0.33,0.05,n,y,y
L4,21/05/2012,0,0.01,0.09,,0.31,0.05,n,y,y
L4,21/05/2012,10,0.02,0.07,,0.27,0.06,n,y,y
L4,21/05/2012,10,0.02,0.07,,0.27,0.06,n,y,y
L4,21/05/2012,25,0.08,1.15,,1.68,0.27,n,y,y
L4,21/05/2012,25,0.08,1.12,,1.68,0.27,n,y,y
L4,21/05/2012,50,0.08,1.2,,1.78,0.28,n,y,y
L4,21/05/2012,50,0.08,1.2,,1.79,0.28,n,y,y
L4,21/05/2012,0,0.01,0.07,,0.33,0.03,n,n,y
L4,21/05/2012,0,0.01,0.07,,0.33,0.03,n,n,y
L4,21/05/2012,10,0.02,0.08,,0.26,0.05,n,n,y
L4,21/05/2012,10,0.02,0.08,,0.24,0.05,n,n,y
L4,21/05/2012,25,0.08,1.08,,1.75,0.25,n,n,y
L4,21/05/2012,25,0.08,1.07,,1.79,0.27,n,n,y
L4,21/05/2012,50,0.08,1.14,,1.86,0.27,n,n,y
L4,21/05/2012,50,0.08,1.14,,1.86,0.27,n,n,y
L4,28/05/2012,0,0.01,0.07,0.45,0.17,0.04,n,y,y
L4,28/05/2012,0,0.01,0.07,,0.21,0.03,n,y,y
L4,28/05/2012,10,0.01,0.09,0.3,0.31,0.03,n,y,y
L4,28/05/2012,10,0.01,0.09,0.26,0.28,0.03,n,y,y
L4,28/05/2012,25,0.02,0.09,0.39,0.28,0.03,n,y,y
L4,28/05/2012,25,0.02,0.09,0.46,0.27,0.03,n,y,y
L4,28/05/2012,50,0.09,1.29,0.76,1.42,0.18,n,y,y
L4,28/05/2012,50,0.09,1.36,0.74,1.42,0.17,n,y,y
L4,28/05/2012,0,0,0.05,0.21,,0.02,n,n,y
L4,28/05/2012,0,0,0.05,0.19,0.22,0.02,n,n,y
L4,28/05/2012,10,0,0.07,0.2,0.24,0.03,n,n,y
L4,28/05/2012,10,0.01,0.07,0.19,0.23,0.03,n,n,y
L4,28/05/2012,25,0.02,0.06,0.21,0.26,0.02,n,n,y
L4,28/05/2012,25,0.02,0.06,0.21,0.26,0.02,n,n,y
L4,28/05/2012,50,0.08,1.15,0.66,1.42,0.14,n,n,y
L4,28/05/2012,50,0.08,1.16,0.63,1.41,0.14,n,n,y
L4,11/06/2012,0,0.02,0.1,0.41,0.36,0.08,n,y,y
L4,11/06/2012,0,0.02,0.1,0.41,0.36,0.08,n,y,y
L4,11/06/2012,10,0.01,0.08,0.4,0.19,0.07,n,y,y
L4,11/06/2012,10,0.01,0.07,0.41,0.19,0.08,n,y,y
L4,11/06/2012,25,0.03,0.28,1.05,0.93,0.16,n,y,y
L4,11/06/2012,25,0.03,0.27,1.09,0.93,0.16,n,y,y
L4,11/06/2012,50,0.05,0.48,1.93,1.56,0.22,n,y,y
L4,11/06/2012,50,0.05,0.48,2.04,1.55,0.22,n,y,y
L4,11/06/2012,0,0.02,0.09,0.38,0.34,0.07,n,n,y
L4,11/06/2012,0,0.02,0.09,0.38,0.33,0.07,n,n,y
L4,11/06/2012,10,0.02,0.08,0.4,0.16,0.07,n,n,y
L4,11/06/2012,10,0.02,0.07,0.41,0.16,0.07,n,n,y
L4,11/06/2012,25,0.04,0.22,0.98,0.92,0.15,n,n,y
L4,11/06/2012,25,0.04,0.22,0.99,0.92,0.15,n,n,y
L4,11/06/2012,50,0.05,0.45,1.91,1.55,0.22,n,n,y
L4,11/06/2012,50,0.05,0.46,1.93,1.56,0.22,n,n,y
L4,18/06/2012,0,0.01,0.03,,0.13,0.02,n,y,y
L4,18/06/2012,0,0.01,0.03,,0.11,0.02,n,y,y
L4,18/06/2012,10,0.01,0.03,,0.11,0.03,n,y,y
L4,18/06/2012,10,0.01,0.03,,0.11,0.03,n,y,y
L4,18/06/2012,25,0.01,0.05,,0.13,0.04,n,y,y
L4,18/06/2012,25,0.01,0.05,,0.13,0.04,n,y,y
L4,18/06/2012,50,0.07,0.47,,2.16,0.28,n,y,y
L4,18/06/2012,50,0.07,0.47,,2.16,0.28,n,y,y
L4,18/06/2012,0,0,0.03,,0.08,0.02,n,n,y
L4,18/06/2012,0,0,0.03,,0.08,0.02,n,n,y
L4,18/06/2012,10,0.01,0.03,,0.08,0.02,n,n,y
L4,18/06/2012,10,0.01,0.03,,0.08,0.02,n,n,y
L4,18/06/2012,25,0.01,0.04,,0.09,0.04,n,n,y
L4,18/06/2012,25,0.01,0.04,,0.09,0.04,n,n,y
L4,18/06/2012,50,0.07,0.44,,2.15,0.26,n,n,y
L4,18/06/2012,50,0.07,0.46,,2.16,0.26,n,n,y
L4,25/06/2012,0,,,,,,n,y,y
L4,25/06/2012,0,,,,,,n,y,y
L4,25/06/2012,10,0.02,0.05,0.3,0.25,0.04,n,y,y
L4,25/06/2012,10,0.02,0.05,0.27,0.24,0.04,n,y,y
L4,25/06/2012,25,0.04,0.1,0.24,0.38,0.06,n,y,y
L4,25/06/2012,25,0.04,0.09,0.22,0.38,0.05,n,y,y
L4,25/06/2012,50,0.08,0.76,2.34,2.62,0.27,n,y,y
L4,25/06/2012,50,0.08,0.76,2.37,2.64,0.27,n,y,y
L4,25/06/2012,0,,,,,,n,n,y
L4,25/06/2012,0,,,,,,n,n,y
L4,25/06/2012,10,0.01,0.04,0.14,0.2,0.03,n,n,y
L4,25/06/2012,10,0.01,0.04,0.15,0.19,0.03,n,n,y
L4,25/06/2012,25,0.02,0.07,0.18,0.36,0.04,n,n,y
L4,25/06/2012,25,0.02,0.06,0.18,0.35,0.03,n,n,y
L4,25/06/2012,50,0.07,0.76,2.25,2.63,0.26,n,n,y
L4,25/06/2012,50,0.07,0.76,2.38,2.63,0.28,n,n,y
L4,02/07/2012,0,0.01,0.09,0.1,0.21,0.02,n,y,y
L4,02/07/2012,0,0.01,0.09,0.11,0.19,0.02,n,y,y
L4,02/07/2012,10,0.01,0.1,0.17,0.22,0.01,n,y,y
L4,02/07/2012,10,0.01,0.1,0.22,0.22,0.01,n,y,y
L4,02/07/2012,25,0.04,0.31,0.66,0.9,0.13,n,y,y
L4,02/07/2012,25,0.04,0.32,,0.9,0.14,n,y,y
L4,02/07/2012,50,0.08,0.89,2.49,3.03,0.28,n,y,y
L4,02/07/2012,50,0.08,0.89,2.73,3.03,0.29,n,y,y
L4,02/07/2012,0,0.01,0.08,0.23,0.17,0.04,n,n,y
L4,02/07/2012,0,0.01,0.08,0.23,0.17,0.04,n,n,y
L4,02/07/2012,10,0.01,0.11,0.13,0.18,0.03,n,n,y
L4,02/07/2012,10,0.01,0.1,0.1,0.18,0.03,n,n,y
L4,02/07/2012,25,0.03,0.24,0.51,0.83,0.13,n,n,y
L4,02/07/2012,25,0.03,0.24,0.56,0.83,0.13,n,n,y
L4,02/07/2012,50,0.08,0.87,2.46,3.01,0.29,n,n,y
L4,02/07/2012,50,0.08,0.85,2.47,3.02,0.29,n,n,y
L4,09/07/2012,0,0.07,2.7,0.57,1.37,0.09,n,y,y
L4,09/07/2012,0,0.07,2.7,0.65,1.37,0.09,n,y,y
L4,09/07/2012,10,0,0.08,0.32,0.44,0.06,n,y,y
L4,09/07/2012,10,0,0.08,0.37,0.44,0.06,n,y,y
L4,09/07/2012,25,0.05,0.59,1.77,2.47,0.26,n,y,y
L4,09/07/2012,25,0.05,0.59,1.78,2.46,0.26,n,y,y
L4,09/07/2012,50,0.06,0.67,1.89,2.6,0.28,n,y,y
L4,09/07/2012,50,0.06,0.67,1.83,2.59,0.28,n,y,y
L4,09/07/2012,0,0.07,2.65,0.07,1.35,0.07,n,n,y
L4,09/07/2012,0,0.07,2.63,0.06,1.35,0.07,n,n,y
L4,09/07/2012,10,0,0.08,0.05,0.42,0.05,n,n,y
L4,09/07/2012,10,0,0.08,0.04,0.42,0.05,n,n,y
L4,09/07/2012,25,0.05,0.61,1.52,2.46,0.25,n,n,y
L4,09/07/2012,25,0.05,0.59,1.53,2.46,0.26,n,n,y
L4,09/07/2012,50,0.06,0.67,1.93,2.59,0.27,n,n,y
L4,09/07/2012,50,0.06,0.67,,2.59,0.27,n,n,y
L4,23/07/2012,0,0,0.04,0,0.11,0.02,n,y,y
L4,23/07/2012,0,0,0.04,0,0.11,0.03,n,y,y
L4,23/07/2012,10,0,0.06,0,0.12,0.04,n,y,y
L4,23/07/2012,10,0,0.06,0,0.12,0.04,n,y,y
L4,23/07/2012,25,0.09,0.68,1.66,2.12,0.28,n,y,y
L4,23/07/2012,25,0.09,0.69,1.7,2.13,0.28,n,y,y
L4,23/07/2012,50,0.09,0.76,1.95,2.25,0.3,n,y,y
L4,23/07/2012,50,0.09,0.76,2.01,2.25,0.3,n,y,y
L4,23/07/2012,0,0,0.04,0,0.1,0.02,n,n,y
L4,23/07/2012,0,0,0.04,0,0.1,0.02,n,n,y
L4,23/07/2012,10,0,0.07,0,0.12,0.04,n,n,y
L4,23/07/2012,10,0,0.07,0,0.12,0.04,n,n,y
L4,23/07/2012,25,0.09,0.74,1.22,2.14,0.27,n,n,y
L4,23/07/2012,25,0.09,0.74,1.23,2.14,0.27,n,n,y
L4,23/07/2012,50,0.09,0.78,1.64,2.26,0.29,n,n,y
L4,23/07/2012,50,0.09,0.79,1.66,2.25,0.29,n,n,y
L4,30/07/2012,0,0,0,0.96,0.53,0.04,n,y,y
L4,30/07/2012,0,0,0,0.84,0.53,0.05,n,y,y
L4,30/07/2012,10,0,0,0.65,0.87,0.07,n,y,y
L4,30/07/2012,10,0,0,0.66,0.87,0.07,n,y,y
L4,30/07/2012,25,0,0,0.58,2.37,0.12,n,y,y
L4,30/07/2012,25,0,0,0.56,2.37,0.12,n,y,y
L4,30/07/2012,50,0.04,0.05,0.63,2.94,0.13,n,y,y
L4,30/07/2012,50,0.04,0.05,0.63,2.96,0.13,n,y,y
L4,30/07/2012,0,0,0,0.37,0.52,0.03,n,n,y
L4,30/07/2012,0,0,0,0.37,0.52,0.03,n,n,y
L4,30/07/2012,10,0,0,0.5,0.85,0.06,n,n,y
L4,30/07/2012,10,0,0,0.49,0.86,0.05,n,n,y
L4,30/07/2012,25,0.02,0.02,0.57,2.38,0.12,n,n,y
L4,30/07/2012,25,0.02,0.02,0.57,2.38,0.12,n,n,y
L4,30/07/2012,50,0.04,0.06,0.6,2.98,0.14,n,n,y
L4,30/07/2012,50,0.04,0.07,0.6,2.96,0.14,n,n,y
L4,06/08/2012,0,0,0.11,0.85,0.41,0.07,n,y,y
L4,06/08/2012,0,0,0.11,0.73,0.41,0.07,n,y,y
L4,06/08/2012,10,0.06,0.16,0.96,0.88,0.12,n,y,y
L4,06/08/2012,10,0.06,0.16,0.93,0.88,0.12,n,y,y
L4,06/08/2012,25,0.07,0.21,1.42,1.8,0.18,n,y,y
L4,06/08/2012,25,0.07,0.21,1.43,1.8,0.18,n,y,y
L4,06/08/2012,50,0.07,0.25,1.34,2.08,0.18,n,y,y
L4,06/08/2012,50,0.07,0.25,1.36,2.08,0.18,n,y,y
L4,06/08/2012,0,0,0.12,0.44,0.38,0.05,n,n,y
L4,06/08/2012,0,0,0.12,0.44,0.38,0.05,n,n,y
L4,06/08/2012,10,0.02,0.15,0.7,0.82,0.1,n,n,y
L4,06/08/2012,10,0.02,0.15,0.72,0.82,0.1,n,n,y
L4,06/08/2012,25,0.05,0.19,1.15,1.75,0.15,n,n,y
L4,06/08/2012,25,0.05,0.2,1.15,1.75,0.15,n,n,y
L4,06/08/2012,50,0.05,0.23,1.15,2.06,0.16,n,n,y
L4,06/08/2012,50,0.05,0.23,1.17,2.06,0.16,n,n,y
L4,14/08/2012,0,0.02,0.08,0.9,0.36,0.06,n,y,y
L4,14/08/2012,0,0.02,0.08,0.83,0.35,0.05,n,y,y
L4,14/08/2012,10,0.01,0.08,0.72,0.38,0.05,n,y,y
L4,14/08/2012,10,0.01,0.08,0.77,0.38,0.05,n,y,y
L4,14/08/2012,25,0.12,0.84,1.9,3.26,0.27,n,y,y
L4,14/08/2012,25,0.12,0.84,1.93,3.27,0.27,n,y,y
L4,14/08/2012,50,0.12,0.6,2.4,3.87,0.31,n,y,y
L4,14/08/2012,50,0.12,0.6,2.39,3.87,0.31,n,y,y
L4,14/08/2012,0,0.01,0.06,0.48,0.38,0.03,n,n,y
L4,14/08/2012,0,0.01,0.06,0.5,0.38,0.04,n,n,y
L4,14/08/2012,10,0.01,0.07,0.52,0.37,0.04,n,n,y
L4,14/08/2012,10,0.01,0.07,0.51,0.37,0.04,n,n,y
L4,14/08/2012,25,0.12,0.82,1.77,3.28,0.25,n,n,y
L4,14/08/2012,25,0.12,0.82,1.77,3.28,0.26,n,n,y
L4,14/08/2012,50,0.11,0.59,2.3,3.86,0.3,n,n,y
